# maths
"associativity","Assoziativität"
"assumption","Annahme"
"base case","Induktionsanfang"
"bracket","Klammer"
"parenthesis","Klammer"
"commutativity","Kommutativität"
"distributivity","Distributivität"
"equality","Gleichheit"
"equation","Gleichung"
"expression","Ausdruck"
"false","falsch"
"hypothesis","Annahme"
"induction","Induktion"
"inductive hypothesis","Induktionsvoraussetzung"
"inductive step","Induktionsschritt"
"injective","injektiv"
"distributivity","Distributivität"
"lemma","Lemma",
"lemmas","Lemmata"
"theorem", "Satz"
"monoid","Monoid"
"natural number","natürliche Zahl"
"number","Zahl"
"partial order","Halbordnung"
"predecessor","Vorgänger"
"preorder","Präordnung"
"proof","Beweis"
"proof of","Beweis für"
"semiring","Halbring"
"statement","Aussage"
"successor","Nachfolger"
"to cancel","kürzen"
"to do induction on x","Induktion über x führen"
"to prove","beweisen"
"totally ordered","total geordnet"
"true","wahr"
"variable","Variable"
"X distributes over Y","X ist distributiv über Y"
# Lean
"a rewrite (Substantiv)","`rw`-Schritt"
"argument","Argument"
"input","Argument"
"definition","Definition"
"function","Funktion"
"goal","Ziel"
"goal state","Beweisstand"
"notation","Notation"
"proof term","Beweisterm"
"solvable goal","beweisbares Ziel"
"tactic","Taktik"
"term","Term"
"to rewrite","umschreiben"
"to rewrite backwards","rückwärts umschreiben"
"to solve a goal","ein Ziel erreichen"
"to close a goal","ein Ziel erreichen"
"to take arguments","Argumente erwarten"
"type","Typ"
# game
"boss","Gegner"
"boss level","Endgegner / Hauptgegner"
"main boss","Hauptgegner"
"sub-boss","Zwischengegner"
"button","Schaltfläche"
"Editor mode","„Editor-Modus“"
"final boss","Endgegner des Spiels"
"inventory","Inventar"
"Level","Level"
"tab","Reiter"
"typewriter mode","Schreibmaschinen-Modus"
"editor mode","Editor-Modus"
"World","Welt"
"X World","X-Welt"
# style
"mathematician","Mathematikerin"
"user","Nutzerin"
